Country,Year,income,mm_ratio,births_attended,lower_bound,upper_bound
Greece, 1990,12950,5,NA,4,6
Greece, 2000,18340,4,NA,3,4
Grenada, 1990,4580,41,NA,30,53
Grenada, 2000,7210,29,NA,21,38
Guatemala, 1990,3370,205,NA,194,217
Guatemala, 2000,4950,178,NA,170,186
Guinea, 1990,690,1040,NA,782,1360
Guinea, 2000,880,976,NA,787,1200
Guinea, 2012,1140,NA,45.3,NA,NA
Guinea-Bissau, 1990,930,907,NA,512,1540
Guinea-Bissau, 2000,560,800,NA,417,1450
Guyana, 1990,1450,171,NA,141,197
Guyana, 2000,3730,210,NA,185,241
Haiti, 2012,1640,NA,37.3,NA,NA
Honduras, 1990,1900,272,NA,256,290
Honduras, 2000,2680,133,NA,115,154
Hungary, 1990,8540,24,NA,21,28
Hungary, 2000,11310,15,NA,12,18
Hungary, 2010,20140,NA,99.1,NA,NA
Iceland, 1990,20580,7,NA,5,9
Iceland, 2000,28070,5,NA,3,7
India, 1990,1160,556,NA,445,685
India, 2000,2040,374,NA,324,437
India, 2013,5350,NA,74.4,NA,NA
Indonesia, 1990,2660,446,NA,347,564
Indonesia, 2000,4010,265,NA,213,324
Indonesia, 2013,9260,NA,87.4,NA,NA
Iran (Islamic Republic of), 1990,5620,123,NA,98,171
Iran (Islamic Republic of), 2000,8490,51,NA,43,60
Iraq, 2011,13620,NA,90.9,NA,NA
Ireland, 1990,12050,11,NA,9,13
Ireland, 2000,24930,9,NA,8,11
Israel, 1990,13100,11,NA,10,13
Israel, 2000,21480,8,NA,7,9
Italy, 1990,17360,8,NA,7,9
Italy, 2000,25590,5,NA,4,6
Italy, 2013,34100,NA,99.9,NA,NA
Jamaica, 1990,4330,79,NA,64,97
Jamaica, 2000,6210,89,NA,79,100
Jamaica, 2011,8170,NA,98.6,NA,NA
Japan, 1990,19370,14,NA,12,15
Japan, 2000,26260,10,NA,9,11
Jordan, 1990,4340,110,NA,88,140
Jordan, 2000,6180,77,NA,66,92
Jordan, 2012,11390,NA,99.6,NA,NA
Kazakhstan, 2000,7170,65,NA,57,75
Kenya, 1990,1250,687,NA,518,899
Kenya, 2000,1420,759,NA,615,947
Kiribati, 1990,1600,234,NA,169,330
Kiribati, 2000,2320,166,NA,113,241
Kiribati, 2009,2430,NA,79.8,NA,NA
Kuwait, 2000,75580,7,NA,6,8
Kyrgyzstan, 1990,2250,80,NA,71,90
Kyrgyzstan, 2000,1550,74,NA,64,84
Lao People's Democratic Republic, 1990,1050,905,NA,638,1230
Lao People's Democratic Republic, 2000,1770,546,NA,417,720
Latvia, 1990,7810,48,NA,41,57
Latvia, 2000,8050,30,NA,25,35
Lebanon, 1990,6110,74,NA,50,109
Lebanon, 2000,9970,42,NA,30,59
Lebanon, 2004,10250,NA,98.2,NA,NA
Lesotho, 1990,1410,629,NA,422,908
Lesotho, 2000,1710,649,NA,492,861
Liberia, 2000,360,1270,NA,972,1620
Liberia, 2013,790,NA,61.1,NA,NA
Lithuania, 1990,9300,29,NA,24,34
Lithuania, 2000,8480,16,NA,14,20
Lithuania, 2006,16430,NA,100.0,NA,NA
Luxembourg, 1990,28820,12,NA,9,15
Luxembourg, 2000,46800,13,NA,10,16
Luxembourg, 2009,52190,NA,99.9,NA,NA
Madagascar, 1990,1040,778,NA,625,963
Madagascar, 2000,1130,536,NA,441,657
Malawi, 1990,340,957,NA,726,1240
Malawi, 2000,490,890,NA,703,1140
Malaysia, 1990,6300,79,NA,57,99
Malaysia, 2000,11440,58,NA,50,66
Maldives, 2012,9310,NA,95.5,NA,NA
Mali, 1990,710,1010,NA,802,1260
Mali, 2000,990,834,NA,682,997
Malta, 1990,11740,13,NA,10,17
Malta, 2000,18590,15,NA,11,20
Malta, 2013,28030,NA,99.9,NA,NA
Marshall Islands, 2011,4260,NA,90.1,NA,NA
Mauritania, 1990,1350,859,NA,566,1230
Mauritania, 2000,1760,813,NA,596,1100
Mauritania, 2011,2610,NA,65.1,NA,NA
Mauritius, 1990,4860,81,NA,68,95
Mauritius, 2000,8950,40,NA,33,49
Mexico, 1990,5800,90,NA,88,92
Mexico, 2000,9990,77,NA,75,78
Micronesia (Federated States of), 2000,2580,153,NA,77,298
Micronesia (Federated States of), 2009,3330,NA,100.0,NA,NA
Mongolia, 1990,2740,186,NA,144,239
Mongolia, 2000,3090,161,NA,140,186
Mongolia, 2013,8810,NA,98.9,NA,NA
Montenegro, 2000,6880,11,NA,7,17
Montenegro, 2013,14600,NA,99.0,NA,NA
Morocco, 1990,2550,317,NA,241,387
Morocco, 2000,3420,221,NA,186,279
Morocco, 2011,6490,NA,73.6,NA,NA
Mozambique, 1990,260,1390,NA,992,1880
Mozambique, 2000,410,915,NA,706,1160
Mozambique, 2011,910,NA,54.3,NA,NA
Namibia, 1990,3780,338,NA,250,449
Namibia, 2000,4930,352,NA,275,453
Namibia, 2013,9590,NA,88.2,NA,NA
Nepal, 1990,810,901,NA,683,1200
Nepal, 2000,1260,548,NA,412,713
Netherlands, 1990,17490,12,NA,10,13
Netherlands, 2000,30070,14,NA,13,15
New Zealand, 1990,14200,18,NA,16,21
New Zealand, 2000,20090,12,NA,10,14
Nicaragua, 1990,1920,173,NA,142,210
Nicaragua, 2000,2620,202,NA,174,234
Niger, 1990,590,873,NA,691,1090
Niger, 2000,610,794,NA,639,996
Niger, 2012,880,NA,29.3,NA,NA
Nigeria, 1990,1770,1350,NA,893,1820
Nigeria, 2000,1940,1170,NA,866,1520
Nigeria, 2013,5360,NA,35.2,NA,NA
Norway, 1990,17370,7,NA,6,8
Norway, 2000,35690,7,NA,6,8
Oman, 1990,18490,30,NA,24,38
Oman, 2000,29010,20,NA,18,24
Pakistan, 1990,2000,431,NA,288,656
Pakistan, 2000,2640,306,NA,208,446
Panama, 1990,4600,102,NA,86,119
Panama, 2000,7480,82,NA,72,92
Panama, 2013,19290,NA,91.4,NA,NA
Papua New Guinea, 1990,1000,470,NA,265,843
Papua New Guinea, 2000,1380,342,NA,177,682
Papua New Guinea, 2013,2430,NA,43.0,NA,NA
